Group,Optimizer,Loop,JoinOrder,Reward,Duration
16b.sql,Dynamic Programming,NULL,6--0---1---7--5---4---3---2---,NULL,6160.14
18c.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,2225.61
20b.sql,Dynamic Programming,NULL,8--4---3---7--5---9--6---1--0---2-----,NULL,473.71
9a.sql,Dynamic Programming,NULL,7--4---3---6--2----1---5--0---,NULL,941.462
22c.sql,Dynamic Programming,NULL,7--2---9--4---6--0---1---10--5---8--3------,NULL,1458.38
22d.sql,Dynamic Programming,NULL,7--2---9--4---6--0---1---10--5---8--3------,NULL,1581.92
2b.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,1096.93
8d.sql,Dynamic Programming,NULL,6--5--3--2---4--1------0--,NULL,3388.41
32b.sql,Dynamic Programming,NULL,5--4--3----2---1---0--,NULL,368.636
9c.sql,Dynamic Programming,NULL,7--4---3---6--2----1---5--0---,NULL,1158.77
12b.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,231.454
17b.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1273.24
1d.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,459.382
27b.sql,Dynamic Programming,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,NULL,646.362
13a.sql,Dynamic Programming,NULL,6--3---5--0---1---8--7---4---2----,NULL,1830.26
25c.sql,Dynamic Programming,NULL,7--0---8--6---5---4---3---2---1---,NULL,4853.54
6b.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,291.555
2a.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,1142.84
13d.sql,Dynamic Programming,NULL,6--3---5--0---1---8--7---4---2----,NULL,1379.63
29a.sql,Dynamic Programming,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,NULL,1284.9
14b.sql,Dynamic Programming,NULL,4--0---7--6---5---3---2---1---,NULL,1185.95
30c.sql,Dynamic Programming,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,NULL,2329.81
6f.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,2408.55
22b.sql,Dynamic Programming,NULL,7--2---9--4---6--0---1---10--5---8--3------,NULL,917.191
24b.sql,Dynamic Programming,NULL,2--1---10---9--0----11--8---7---6---5---4---3---,NULL,1345.22
6d.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,414.33
17d.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1257.66
13b.sql,Dynamic Programming,NULL,6--3---5--0---1---8--7---4---2----,NULL,1164.13
17e.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,3131.16
5a.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,960.874
15d.sql,Dynamic Programming,NULL,6--3---7--4---5--1---2---8--0-----,NULL,1721.35
16a.sql,Dynamic Programming,NULL,6--0---1---7--5---4---3---2---,NULL,4338.98
11c.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,164.381
10a.sql,Dynamic Programming,NULL,6--4---3---2---5--1----0--,NULL,948.476
11a.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,165.815
5c.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,1396.46
29b.sql,Dynamic Programming,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,NULL,1097.53
8a.sql,Dynamic Programming,NULL,6--5--3--2---4--1------0--,NULL,597.624
12a.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,614.839
14c.sql,Dynamic Programming,NULL,4--0---7--6---5---3---2---1---,NULL,1573.58
19a.sql,Dynamic Programming,NULL,2--1---8---7--0----9--6---5---4---3---,NULL,1449.37
16c.sql,Dynamic Programming,NULL,6--0---1---7--5---4---3---2---,NULL,4290.85
4b.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,120.441
33a.sql,Dynamic Programming,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,NULL,469.273
3a.sql,Dynamic Programming,NULL,3--2---1---0--,NULL,1066.62
1b.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,389.741
18a.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,5287.63
15b.sql,Dynamic Programming,NULL,6--3---7--4---5--1---2---8--0-----,NULL,543.018
23c.sql,Dynamic Programming,NULL,8--4---9--5---7--2---3---10--6---1--0------,NULL,637.81
26b.sql,Dynamic Programming,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,NULL,745.291
19c.sql,Dynamic Programming,NULL,2--1---8---7--0----9--6---5---4---3---,NULL,1537.04
17f.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1946.94
27c.sql,Dynamic Programming,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,NULL,952.213
6c.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,261.618
28a.sql,Dynamic Programming,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,NULL,1366.23
32a.sql,Dynamic Programming,NULL,5--4--3----2---1---0--,NULL,367.71
11d.sql,Dynamic Programming,NULL,5--2---4--0---1---7--6---3----,NULL,246.288
19d.sql,Dynamic Programming,NULL,2--1---8---7--0----9--6---5---4---3---,NULL,4294.41
4c.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,527.045
26a.sql,Dynamic Programming,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,NULL,858.827
10c.sql,Dynamic Programming,NULL,6--4---3---2---5--1----0--,NULL,1326.53
5b.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,643.393
9b.sql,Dynamic Programming,NULL,7--4---3---6--2----1---5--0---,NULL,733.915
10b.sql,Dynamic Programming,NULL,6--4---3---2---5--1----0--,NULL,836.928
6a.sql,Dynamic Programming,NULL,4--2---1---3--0---,NULL,319.31
30a.sql,Dynamic Programming,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,NULL,1639.91
23b.sql,Dynamic Programming,NULL,8--4---9--5---7--2---3---10--6---1--0------,NULL,453.56
31a.sql,Dynamic Programming,NULL,9--0---6--2---8--4---5--1---7--3---10------,NULL,1658.1
8b.sql,Dynamic Programming,NULL,6--5--3--2---4--1------0--,NULL,476.213
2d.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,1109.87
15a.sql,Dynamic Programming,NULL,6--3---7--4---5--1---2---8--0-----,NULL,560.341
15c.sql,Dynamic Programming,NULL,6--3---7--4---5--1---2---8--0-----,NULL,1276.15
33c.sql,Dynamic Programming,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,NULL,1260.54
2c.sql,Dynamic Programming,NULL,4--3---2---1---0--,NULL,1107.18
21a.sql,Dynamic Programming,NULL,6--2---4--0---1---8--7---3-----5--,NULL,967.97
17a.sql,Dynamic Programming,NULL,6--4---3---2---1---5--0---,NULL,1469.37
13c.sql,Dynamic Programming,NULL,6--3---5--0---1---8--7---4---2----,NULL,1092.31
31b.sql,Dynamic Programming,NULL,9--0---6--2---8--4---5--1---7--3---10------,NULL,1658.66
20c.sql,Dynamic Programming,NULL,8--4---3---7--5---9--6---1--0---2-----,NULL,1329.74
7b.sql,Dynamic Programming,NULL,7--4---3---1---6--0---2---5---,NULL,371.487
21c.sql,Dynamic Programming,NULL,6--2---4--0---1---8--7---3-----5--,NULL,970.831
7c.sql,Dynamic Programming,NULL,7--4---3---1---6--0---2---5---,NULL,1672.74
25b.sql,Dynamic Programming,NULL,7--0---8--6---5---4---3---2---1---,NULL,1197.18
9d.sql,Dynamic Programming,NULL,7--4---3---6--2----1---5--0---,NULL,1246.43
28c.sql,Dynamic Programming,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,NULL,1400.01
