Query,Optimizer,Loop,JoinOrder,PreparationTime,ExecutionTime,TotalTime
14b.sql,DuckDB,NULL,4--0---7--6---5---3---2---1---,4.266,57411,57415.3
19d.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.191,7638.98,7643.19
16c.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.437,5883.5,5887.95
13a.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.103,56442.6,56446.7
25a.sql,DuckDB,NULL,7--0---8--6---5---4---3---2---1---,4.003,61165.2,61169.2
17c.sql,DuckDB,NULL,6--4---3---2---1---5--0---,6.36,1859.96,1866.34
3b.sql,DuckDB,NULL,3--2---1---0--,0.641,58362,58362.7
17b.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.144,1668.96,1673.12
20b.sql,DuckDB,NULL,8--4---3---7--5---9--6---1--0---2-----,5.099,669.921,675.038
6c.sql,DuckDB,NULL,4--2---1---3--0---,0.772,392.505,393.295
1c.sql,DuckDB,NULL,4--3---2---1---0--,0.734,238.358,239.11
30a.sql,DuckDB,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,4.397,59237.3,59241.7
29a.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.576,58002.3,58007.9
30b.sql,DuckDB,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,4.809,57974,57978.8
11d.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.622,452.284,455.926
8b.sql,DuckDB,NULL,6--5--3--2---4--1------0--,4.445,1085.83,1090.29
26a.sql,DuckDB,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,4.641,1271.4,1276.06
23b.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.633,50331.8,50336.5
15b.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.294,50351.1,50355.4
12a.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.678,56290.6,56294.3
22a.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,4.648,57002.8,57007.4
19a.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.666,57984.2,57988.8
21a.sql,DuckDB,NULL,6--2---4--0---1---8--7---3-----5--,4.44,56977.2,56981.7
26c.sql,DuckDB,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,4.507,1134.64,1139.17
7b.sql,DuckDB,NULL,7--4---3---1---6--0---2---5---,5.268,680.052,685.339
